Size	Cities	Currency	Gender	Capitals
10	0.6	0.52	0.76	0.56
20	0.68	0.68	0.84	0.76
30	0.92	0.76	0.88	0.84
40	0.96	0.76	0.88	0.88
50	0.96	0.8	0.88	0.92
60	1.0	0.8	0.88	0.92
70	1.0	0.88	0.88	0.92
80	1.0	0.88	0.88	0.92
90	1.0	0.88	0.88	0.92
100	1.0	0.92	0.88	0.92
110	1.0	0.92	0.92	0.92
120	1.0	0.92	0.92	0.92
130	1.0	0.92	0.92	0.92
140	1.0	0.92	0.92	0.96
150	1.0	0.92	0.96	0.96
160	1.0	0.92	0.96	0.96
170	1.0	0.92	0.96	1.0
180	1.0	0.92	0.96	1.0
190	1.0	0.92	0.96	1.0

Size	Cities	Currency	Gender	Capitals
10	1922	2069	1730	2339	
20	6981	7395	5790	8913	
30	14697	15763	12248	19505	
40	24566	27462	21521	34127	
50	37114	42015	33259	53260	
60	52071	59668	47349	75796	
70	69447	81068	64823	102143	
80	89648	105905	85608	132201	
90	112470	133494	109400	166053	
100	138839	165077	136428	203640	
110	168055	200911	167209	244292	
120	198492	239110	201582	287884	
130	230345	281364	239088	336055	
140	266635	326979	280008	386167	
150	303870	377022	322790	440037	
160	343833	429707	367888	497990	
170	386831	485211	417250	558695	
180	433838	543488	467673	622391	
190	482781	604479	521558	688900	
